case,source_platform,rating_1_5,text,stance,theme_codes,pulled_by,post_date,has_text,unnamed_9,post_date_norm,year,ym,rating_1_5_num
KTR,GoogleMaps,5,"Сейчас проход закрыли, вроде можно перелезть через бетонный забор но не пробовал. Будем надеяться кто-нибудь сделает новый удобный залаз для всех.",neutral,access,Mariia,2025-08,yes,"Если рейтинг 5, но без комментариев, то это neutral",2025-09-08,2025,2025-09,5
KTR,GoogleMaps,5,"Сейчас проход закрыли, вроде можно перелезть через бетонный забор но не пробовал. Будем надеяться кто-нибудь сделает новый удобный залаз для всех.",neutral,security,Mariia,2025-08,yes,"Если рейтинг 5, но без комментариев, то это neutral",2025-09-08,2025,2025-09,5
KTR,GoogleMaps,5,"Сейчас проход закрыли, вроде можно перелезть через бетонный забор но не пробовал. Будем надеяться кто-нибудь сделает новый удобный залаз для всех.",neutral,community,Mariia,2025-08,yes,"Если рейтинг 5, но без комментариев, то это neutral",2025-09-08,2025,2025-09,5
KTR,GoogleMaps,5,"Крутое место, для начинающих сталкеров самое то.",positive,exploration,Mariia,2025-06,yes,NA,2025-09-06,2025,2025-09,5
KTR,GoogleMaps,5,"Крутое место, для начинающих сталкеров самое то.",positive,atmosphere,Mariia,2025-06,yes,NA,2025-09-06,2025,2025-09,5
KTR,GoogleMaps,5,"Крутое место, для начинающих сталкеров самое то.",positive,urbex,Mariia,2025-06,yes,NA,2025-09-06,2025,2025-09,5
KTR,GoogleMaps,5,"Заброшка прикольная, залезть можно где хочешь, но вывести если не запомнить — пипец будет. Был 1 раз, понравилось, гулял до 4 часов, охраны и т.д. — забейте.",positive,exploration,Mariia,2025-04,yes,NA,2025-09-04,2025,2025-09,5
KTR,GoogleMaps,5,"Заброшка прикольная, залезть можно где хочешь, но вывести если не запомнить — пипец будет. Был 1 раз, понравилось, гулял до 4 часов, охраны и т.д. — забейте.",positive,abandonment,Mariia,2025-04,yes,NA,2025-09-04,2025,2025-09,5
KTR,GoogleMaps,5,"Заброшка прикольная, залезть можно где хочешь, но вывести если не запомнить — пипец будет. Был 1 раз, понравилось, гулял до 4 часов, охраны и т.д. — забейте.",positive,danger,Mariia,2025-04,yes,NA,2025-09-04,2025,2025-09,5
KTR,GoogleMaps,5,"Заброшка прикольная, залезть можно где хочешь, но вывести если не запомнить — пипец будет. Был 1 раз, понравилось, гулял до 4 часов, охраны и т.д. — забейте.",positive,security,Mariia,2025-04,yes,NA,2025-09-04,2025,2025-09,5
KTR,GoogleMaps,1,"Залупа, там скучно.",negative,disappointment,Mariia,2025-03,yes,NA,2025-09-03,2025,2025-09,1
KTR,GoogleMaps,1,"Залупа, там скучно.",negative,atmosphere,Mariia,2025-03,yes,NA,2025-09-03,2025,2025-09,1
KTR,GoogleMaps,5,Классная заброшка с богатой историей.,positive,history,Mariia,2024-12,yes,NA,2024-09-12,2024,2024-09,5
KTR,GoogleMaps,5,Классная заброшка с богатой историей.,positive,atmosphere,Mariia,2024-12,yes,NA,2024-09-12,2024,2024-09,5
KTR,GoogleMaps,5,Классная заброшка с богатой историей.,positive,ruins,Mariia,2024-12,yes,NA,2024-09-12,2024,2024-09,5
KTR,GoogleMaps,5,"Лестницы либо сами обваливаются, либо их уничтожают намеренно, чтобы не ходили. Крыша рядом с основным залом уже частично рухнула, всё, что можно — растаскали, в том числе и балки, удерживающие конструкцию…",negative,abandonment,Mariia,2024-11,yes,NA,2024-09-11,2024,2024-09,5
KTR,GoogleMaps,5,"Лестницы либо сами обваливаются, либо их уничтожают намеренно, чтобы не ходили. Крыша рядом с основным залом уже частично рухнула, всё, что можно — растаскали, в том числе и балки, удерживающие конструкцию…",negative,danger,Mariia,2024-11,yes,NA,2024-09-11,2024,2024-09,5
KTR,GoogleMaps,5,"Лестницы либо сами обваливаются, либо их уничтожают намеренно, чтобы не ходили. Крыша рядом с основным залом уже частично рухнула, всё, что можно — растаскали, в том числе и балки, удерживающие конструкцию…",negative,decay,Mariia,2024-11,yes,NA,2024-09-11,2024,2024-09,5
KTR,GoogleMaps,5,"Лестницы либо сами обваливаются, либо их уничтожают намеренно, чтобы не ходили. Крыша рядом с основным залом уже частично рухнула, всё, что можно — растаскали, в том числе и балки, удерживающие конструкцию…",negative,access,Mariia,2024-11,yes,NA,2024-09-11,2024,2024-09,5
KTR,GoogleMaps,5,"Место действительно впечатляющее. Промышленная кирпичная архитектура начала XX века, всё это на фоне полузаброшенной и действующей промышленности смотрится просто великолепно.",positive,architecture,Mariia,2024-09,yes,NA,2024-09-09,2024,2024-09,5
KTR,GoogleMaps,5,"Место действительно впечатляющее. Промышленная кирпичная архитектура начала XX века, всё это на фоне полузаброшенной и действующей промышленности смотрится просто великолепно.",positive,history,Mariia,2024-09,yes,NA,2024-09-09,2024,2024-09,5
KTR,GoogleMaps,5,"Место действительно впечатляющее. Промышленная кирпичная архитектура начала XX века, всё это на фоне полузаброшенной и действующей промышленности смотрится просто великолепно.",positive,atmosphere,Mariia,2024-09,yes,NA,2024-09-09,2024,2024-09,5
KTR,GoogleMaps,5,"Место действительно впечатляющее. Промышленная кирпичная архитектура начала XX века, всё это на фоне полузаброшенной и действующей промышленности смотрится просто великолепно.",positive,contrast,Mariia,2024-09,yes,NA,2024-09-09,2024,2024-09,5
KTR,GoogleMaps,5,Кек.,neutral,humor,Mariia,2024-09,yes,NA,2024-09-09,2024,2024-09,5
KTR,GoogleMaps,5,Кек.,neutral,irrelevant,Mariia,2024-09,yes,NA,2024-09-09,2024,2024-09,5
KTR,GoogleMaps,5,"Эти старые очаровательные корпуса — первая резиновая фабрика в России, основанная в середине XIX века Фердинандом Краузкопфом. После национализации в 1920-х — «Красный Треугольник». До 1970-х крупнейший производитель резины. После распада СССР — банкротство. Сейчас часть корпусов арендуют малые производства, офисы, выставки; другие корпуса разрушаются. Опасно бывать, мародёры спиливают металл, были несчастные случаи. В 2024 признан объектом культурного наследия регионального значения. Надеюсь, это поможет сохранить. Я посещала артмаркет художников здесь.",mixed,history,Mariia,2024-09,yes,NA,2024-09-09,2024,2024-09,5
KTR,GoogleMaps,5,"Эти старые очаровательные корпуса — первая резиновая фабрика в России, основанная в середине XIX века Фердинандом Краузкопфом. После национализации в 1920-х — «Красный Треугольник». До 1970-х крупнейший производитель резины. После распада СССР — банкротство. Сейчас часть корпусов арендуют малые производства, офисы, выставки; другие корпуса разрушаются. Опасно бывать, мародёры спиливают металл, были несчастные случаи. В 2024 признан объектом культурного наследия регионального значения. Надеюсь, это поможет сохранить. Я посещала артмаркет художников здесь.",mixed,heritage,Mariia,2024-09,yes,NA,2024-09-09,2024,2024-09,5
KTR,GoogleMaps,5,"Эти старые очаровательные корпуса — первая резиновая фабрика в России, основанная в середине XIX века Фердинандом Краузкопфом. После национализации в 1920-х — «Красный Треугольник». До 1970-х крупнейший производитель резины. После распада СССР — банкротство. Сейчас часть корпусов арендуют малые производства, офисы, выставки; другие корпуса разрушаются. Опасно бывать, мародёры спиливают металл, были несчастные случаи. В 2024 признан объектом культурного наследия регионального значения. Надеюсь, это поможет сохранить. Я посещала артмаркет художников здесь.",mixed,reuse,Mariia,2024-09,yes,NA,2024-09-09,2024,2024-09,5
KTR,GoogleMaps,5,"Эти старые очаровательные корпуса — первая резиновая фабрика в России, основанная в середине XIX века Фердинандом Краузкопфом. После национализации в 1920-х — «Красный Треугольник». До 1970-х крупнейший производитель резины. После распада СССР — банкротство. Сейчас часть корпусов арендуют малые производства, офисы, выставки; другие корпуса разрушаются. Опасно бывать, мародёры спиливают металл, были несчастные случаи. В 2024 признан объектом культурного наследия регионального значения. Надеюсь, это поможет сохранить. Я посещала артмаркет художников здесь.",mixed,danger,Mariia,2024-09,yes,NA,2024-09-09,2024,2024-09,5
KTR,GoogleMaps,5,"Эти старые очаровательные корпуса — первая резиновая фабрика в России, основанная в середине XIX века Фердинандом Краузкопфом. После национализации в 1920-х — «Красный Треугольник». До 1970-х крупнейший производитель резины. После распада СССР — банкротство. Сейчас часть корпусов арендуют малые производства, офисы, выставки; другие корпуса разрушаются. Опасно бывать, мародёры спиливают металл, были несчастные случаи. В 2024 признан объектом культурного наследия регионального значения. Надеюсь, это поможет сохранить. Я посещала артмаркет художников здесь.",mixed,creative,Mariia,2024-09,yes,NA,2024-09-09,2024,2024-09,5
KTR,GoogleMaps,5,"Эти старые очаровательные корпуса — первая резиновая фабрика в России, основанная в середине XIX века Фердинандом Краузкопфом. После национализации в 1920-х — «Красный Треугольник». До 1970-х крупнейший производитель резины. После распада СССР — банкротство. Сейчас часть корпусов арендуют малые производства, офисы, выставки; другие корпуса разрушаются. Опасно бывать, мародёры спиливают металл, были несчастные случаи. В 2024 признан объектом культурного наследия регионального значения. Надеюсь, это поможет сохранить. Я посещала артмаркет художников здесь.",mixed,policy,Mariia,2024-09,yes,NA,2024-09-09,2024,2024-09,5
KTR,GoogleMaps,4,Отличное место в лето!,positive,atmosphere,Mariia,2022,yes,NA,1905-07-14,1905,1905-07,4
KTR,GoogleMaps,4,Отличное место в лето!,positive,seasonal,Mariia,2022,yes,NA,1905-07-14,1905,1905-07,4
KTR,GoogleMaps,1,(текст отсутствует — только оценка),neutral,rating_only,Mariia,2022,no,NA,1905-07-14,1905,1905-07,1
KTR,GoogleMaps,5,"Были с кошкой на выставке кошек. Хорошее помещение, просторное. Возможно, местоположение не очень удобно для зрителей, так как обычно приезжают всей семьёй, с детьми, а парковки нет. Но мне, как участнику, всё понравилось.",mixed,reuse,Mariia,2022,yes,NA,1905-07-14,1905,1905-07,5
KTR,GoogleMaps,5,"Были с кошкой на выставке кошек. Хорошее помещение, просторное. Возможно, местоположение не очень удобно для зрителей, так как обычно приезжают всей семьёй, с детьми, а парковки нет. Но мне, как участнику, всё понравилось.",mixed,events,Mariia,2022,yes,NA,1905-07-14,1905,1905-07,5
KTR,GoogleMaps,5,"Были с кошкой на выставке кошек. Хорошее помещение, просторное. Возможно, местоположение не очень удобно для зрителей, так как обычно приезжают всей семьёй, с детьми, а парковки нет. Но мне, как участнику, всё понравилось.",mixed,infrastructure,Mariia,2022,yes,NA,1905-07-14,1905,1905-07,5
KTR,GoogleMaps,5,"Были с кошкой на выставке кошек. Хорошее помещение, просторное. Возможно, местоположение не очень удобно для зрителей, так как обычно приезжают всей семьёй, с детьми, а парковки нет. Но мне, как участнику, всё понравилось.",mixed,parking,Mariia,2022,yes,NA,1905-07-14,1905,1905-07,5
KTR,GoogleMaps,1,(текст отсутствует — только оценка),neutral,rating_only,Mariia,2022,no,NA,1905-07-14,1905,1905-07,1
KTR,GoogleMaps,3,(текст отсутствует — только оценка),neutral,rating_only,Mariia,2022,no,NA,1905-07-14,1905,1905-07,3
KTR,GoogleMaps,4,Отличное предприятие.,positive,industry,Mariia,2022,yes,NA,1905-07-14,1905,1905-07,4
KTR,GoogleMaps,4,Отличное предприятие.,positive,reputation,Mariia,2022,yes,NA,1905-07-14,1905,1905-07,4
KTR,GoogleMaps,4,(текст отсутствует — только оценка),neutral,rating_only,Mariia,2022,no,NA,1905-07-14,1905,1905-07,4
KTR,GoogleMaps,4,Хороший зал для тренировок по стрельбе. Доброжелательная и спокойная охрана. Но можно заблудиться на территории.,mixed,reuse,Mariia,2022,yes,NA,1905-07-14,1905,1905-07,4
KTR,GoogleMaps,4,Хороший зал для тренировок по стрельбе. Доброжелательная и спокойная охрана. Но можно заблудиться на территории.,mixed,sport,Mariia,2022,yes,NA,1905-07-14,1905,1905-07,4
KTR,GoogleMaps,4,Хороший зал для тренировок по стрельбе. Доброжелательная и спокойная охрана. Но можно заблудиться на территории.,mixed,security,Mariia,2022,yes,NA,1905-07-14,1905,1905-07,4
KTR,GoogleMaps,4,Хороший зал для тренировок по стрельбе. Доброжелательная и спокойная охрана. Но можно заблудиться на территории.,mixed,navigation,Mariia,2022,yes,NA,1905-07-14,1905,1905-07,4
KTR,GoogleMaps,5,(текст отсутствует — только оценка),neutral,rating_only,Mariia,2022,no,NA,1905-07-14,1905,1905-07,5
KTR,GoogleMaps,5,(текст отсутствует — только оценка),neutral,rating_only,Mariia,2022,no,NA,1905-07-14,1905,1905-07,5
KTR,GoogleMaps,5,"Был там 2 раза. Жалко не смог попасть на самый верх — нет лестницы или другого хода. Только если по крыше идти. Место супер, даёт о многом подумать. Обстановка заставляет задуматься, как тут всё работало. Огромные цеха, училище, больница. Посетили спортзал, энергетика завораживает. Кстати, там снимали фильм про войну.",neutral,atmosphere,Mariia,2021,yes,NA,1905-07-13,1905,1905-07,5
