case,source_platform,rating_1_5,text,stance,theme_codes,pulled_by,post_date,has_text,unnamed_9,post_date_norm,year,ym,rating_1_5_num
DAA,YandexMaps,5,Отличное место.,positive,atmosphere,Mariia,2020-06-24 00:00:00,yes,NA,2020-06-24,2020,2020-06,5
DAA,YandexMaps,5,"Большой выбор производителей мебели на заказ, отделочные материалы лучших производителей",positive,commerce,Mariia,2020-07-28 00:00:00,yes,NA,2020-07-28,2020,2020-07,5
DAA,YandexMaps,5,"Большой выбор производителей мебели на заказ, отделочные материалы лучших производителей",positive,retail,Mariia,2020-07-28 00:00:00,yes,NA,2020-07-28,2020,2020-07,5
DAA,YandexMaps,3,Большой торговый центр. Нужно больше общественных пространств,mixed,commerce,Mariia,2020-08-30 00:00:00,yes,NA,2020-08-30,2020,2020-08,3
DAA,YandexMaps,3,Большой торговый центр. Нужно больше общественных пространств,mixed,infrastructure,Mariia,2020-08-30 00:00:00,yes,NA,2020-08-30,2020,2020-08,3
DAA,YandexMaps,3,Большой торговый центр. Нужно больше общественных пространств,mixed,public_space,Mariia,2020-08-30 00:00:00,yes,NA,2020-08-30,2020,2020-08,3
DAA,YandexMaps,5,Хороший мебельный Базар),positive,commerce,Mariia,2020-08-28 00:00:00,yes,NA,2020-08-28,2020,2020-08,5
DAA,YandexMaps,5,Хороший мебельный Базар),positive,retail,Mariia,2020-08-28 00:00:00,yes,NA,2020-08-28,2020,2020-08,5
DAA,YandexMaps,5,отличная площадка под выставки,positive,reuse,Mariia,2020-09-19 00:00:00,yes,NA,2020-09-19,2020,2020-09,5
DAA,YandexMaps,5,отличная площадка под выставки,positive,events,Mariia,2020-09-19 00:00:00,yes,NA,2020-09-19,2020,2020-09,5
DAA,YandexMaps,5,"Интересное место с приятными кафе, красивыми муралами и инсталляциями",positive,reuse,Mariia,2020-09-15 00:00:00,yes,NA,2020-09-15,2020,2020-09,5
DAA,YandexMaps,5,"Интересное место с приятными кафе, красивыми муралами и инсталляциями",positive,culture,Mariia,2020-09-15 00:00:00,yes,NA,2020-09-15,2020,2020-09,5
DAA,YandexMaps,5,"Интересное место с приятными кафе, красивыми муралами и инсталляциями",positive,food,Mariia,2020-09-15 00:00:00,yes,NA,2020-09-15,2020,2020-09,5
DAA,YandexMaps,5,"Интересное место с приятными кафе, красивыми муралами и инсталляциями",positive,art,Mariia,2020-09-15 00:00:00,yes,NA,2020-09-15,2020,2020-09,5
DAA,YandexMaps,4,Пространство для дизайнеров и творческих людей.,positive,reuse,Mariia,2020-09-28 00:00:00,yes,NA,2020-09-28,2020,2020-09,4
DAA,YandexMaps,4,Пространство для дизайнеров и творческих людей.,positive,design,Mariia,2020-09-28 00:00:00,yes,NA,2020-09-28,2020,2020-09,4
DAA,YandexMaps,4,Пространство для дизайнеров и творческих людей.,positive,creative,Mariia,2020-09-28 00:00:00,yes,NA,2020-09-28,2020,2020-09,4
DAA,YandexMaps,3,Большой слой пыли на трубах и стеклах портит общий вид,negative,infrastructure,Mariia,2020-09-27 00:00:00,yes,NA,2020-09-27,2020,2020-09,3
DAA,YandexMaps,3,Большой слой пыли на трубах и стеклах портит общий вид,negative,cleanliness,Mariia,2020-09-27 00:00:00,yes,NA,2020-09-27,2020,2020-09,3
DAA,YandexMaps,5,Один из лучших дизайн центров!,positive,reuse,Mariia,2020-10-18 00:00:00,yes,NA,2020-10-18,2020,2020-10,5
DAA,YandexMaps,5,Один из лучших дизайн центров!,positive,design,Mariia,2020-10-18 00:00:00,yes,NA,2020-10-18,2020,2020-10,5
DAA,YandexMaps,5,Один из лучших дизайн центров!,positive,reputation,Mariia,2020-10-18 00:00:00,yes,NA,2020-10-18,2020,2020-10,5
DAA,YandexMaps,5,Классное пространство для выставок и инсталляций.,positive,reuse,Mariia,2020-09-28 00:00:00,yes,NA,2020-09-28,2020,2020-09,5
DAA,YandexMaps,5,Классное пространство для выставок и инсталляций.,positive,events,Mariia,2020-09-28 00:00:00,yes,NA,2020-09-28,2020,2020-09,5
DAA,YandexMaps,5,Классное пространство для выставок и инсталляций.,positive,art,Mariia,2020-09-28 00:00:00,yes,NA,2020-09-28,2020,2020-09,5
DAA,YandexMaps,4,Был на выставке в этом комплексе. Нормально.,neutral,reuse,Mariia,2020-09-15 00:00:00,yes,NA,2020-09-15,2020,2020-09,4
DAA,YandexMaps,4,Был на выставке в этом комплексе. Нормально.,neutral,events,Mariia,2020-09-15 00:00:00,yes,NA,2020-09-15,2020,2020-09,4
DAA,YandexMaps,5,"[только звёзды, без текста]",positive,none,Mariia,2020-09-15 00:00:00,no,NA,2020-09-15,2020,2020-09,5
